id,title,num,crn,section,hours,times,faculty,location,limit,enrolled,available,info,description,subj,subject,subj_code,cat_term,credit_hours
202620AMST16040,Faulkner,393,16040,A,4,"M 1400-1630,  ","J Grammer",TBA,15,12,"Available: 3","General Education: GMWI: Major Writing Intensive<br><br>Prerequisites: One course in English with attribute GFWI","The most innovative American novelist of the twentieth century is also the writer we need to make sense of the twenty-first. “The past is never dead,” Faulkner said. “It isn’t even past.”  But why isn’t it?  Why can’t we, as so many Americans ask, “just move on”?  Faulkner’s novels keep asking this plaintive question, his characters yearning for the freedom of the fresh start but caught by a tragic past that doesn’t want to let go.  This class focuses on the major novels Faulkner wrote, in blindingly quick succession, between 1929 and 1942, what he later called his “matchless time.”",ENGL,"American Studies",HIST,202620,"4 hours"
202620AMST16041,"African-American Literature",395,16041,A,4,"TR 1330-1445,  ","B Threatt",TBA,20,8,"Available: 12","Prerequisites: One course in English with attribute GFWI","A study of the major traditions of African-American writing from the nineteenth century to the present, including Frederick Douglass, Linda Brent, Zora Neale Hurston, Langston Hughes, Richard Wright, Ralph Ellison, Ernest Gaines, Toni Morrison, and Rita Dove.",ENGL,"American Studies",HIST,202620,"4 hours"
202620AMST15943,"History of the United States II",202,15943,A,4,"TR 1100-1215,  ","A Donaldson",TBA,26,26,"Closed // Waitlist: 2","General Education: G4: Exploring Past and Present<br><br>Reserved Seats: new first-year students - 10 (none available)","A general survey of the political, constitutional, economic, and social history of the United States.",HIST,"American Studies",HIST,202620,"4 hours"
202620AMST15946,"African-American History since 1865",232,15946,A,4,"TR 1330-1445,  ","A Donaldson",TBA,26,24,"Available: 2 Reserved // Waitlist: 1","General Education: G4: Exploring Past and Present,G7: Encountering Perspectives<br><br>Reserved Seats: new first-year students - 10 (2 available)","A survey of the major topics and issues in African-American history from 1865 to the present: the era of emancipation, the turn-of-the-century nadir of race relations, black participation in both world wars, the Harlem Renaissance, the Civil Rights Movement, and various dimensions of contemporary black life. The course will also explore some of the historiographical themes that have catalyzed current scholarship and will analyze diverse theories about the black experience in America.",HIST,"American Studies",HIST,202620,"4 hours"
202620AMST15960,"Colonial and Imperial Warfare in North America and Southern Africa",324,15960,A,4,"W 1400-1630,  ","R Levine",TBA,15,12,"Available: 3","Prerequisites: One course with attribute G4 including AP or IB credit","This seminar compares the warfare that accompanied colonial encounters in North America and southern Africa, from the first European contact through the early twentieth century.  It focuses on wars fought in response to resistance by native peoples and on the use of native allies in warfare between imperial foes as windows into the processes of acculturation, resistance, dispossession, and representation that characterized the colonial encounter as a whole.  Texts range from traditional military history to religious, cultural, environmental, and comparative approaches to the topic.",HIST,"American Studies",HIST,202620,"4 hours"
202620AMST16255,"The American Congress",204,16255,A,4,"TR 1330-1445,  ","E Riley",TBA,26,26,"Closed // Waitlist: 4",,"A study of the institution and processes of the American Congress, including its design and development over time. This course studies Congress by 3 approaches—Congress and its constituents, Congress and its members, Congress and the American political system—with special attention to its representation and law-making functions.",POLS,"American Studies",HIST,202620,"4 hours"
202620AMST16250,"Introduction to Public Policy",223,16250,A,4,"MW 1530-1645,  ","P Gauding",TBA,26,26,"Closed // Waitlist: 0","General Education: G4: Exploring Past and Present<br><br>Reserved Seats: new first-year students - 6 (none available)","Students are introduced to foundational theories of public policy, gaining valuable insight into ""who gets what, when, and how"" in the political process. Through a series of case studies in environmental, social welfare, criminal justice, and health policy, students are asked to apply and critically evaluate policy problems and solutions, given existing public policy theories.",POLS,"American Studies",HIST,202620,"4 hours"
202620AMST16277,"Environmental Politics and Policy",313,16277,A,4,"MW 1400-1515,  ","P Gauding",TBA,20,17,"Available: 3","Not open to new first-year students; Prerequisite:  POLS 101  or  POLS 223  ","The course explores the ideas that influence environmental thought, examines various environmental problems and suggested solutions, and critically evaluates the role that political institutions play in creating and enforcing environmental policy. Specific topics include environmental justice, environmental federalism, environmental health, and regulatory behavior. Not open for credit to students who have completed ENST 334.",POLS,"American Studies",HIST,202620,"4 hours"
202620AMST16094,"Rediscovering America, Reconsidering Religion",119,16094,A,4,"MWF 1000-1050,  ","K Curts",TBA,26,26,"Closed // Waitlist: 7","General Education: G3: Seeking Meaning,G7: Encountering Perspectives<br><br>Reserved Seats: new first-year students - 10 (none available)","An introduction to and critical interrogation of what counts as ""America"" and ""religion."" It asks how these terms have been defined and debated and to what effect. This course examines select moments, figures, debates, and movements from colonial encounter to the present that have helped form and reshape these concepts (religion, America/n), particularly as they intersect with other categories of human distinction and difference-making, including race, space, gender, sex, and class.",RELG,"American Studies",HIST,202620,"4 hours"
202620AMST16095,"Rediscovering America, Reconsidering Religion",119,16095,B,4,"MWF 1200-1250,  ","K Curts",TBA,26,26,"Closed // Waitlist: 3","General Education: G3: Seeking Meaning,G7: Encountering Perspectives<br><br>Reserved Seats: new first-year students - 10 (none available)","An introduction to and critical interrogation of what counts as ""America"" and ""religion."" It asks how these terms have been defined and debated and to what effect. This course examines select moments, figures, debates, and movements from colonial encounter to the present that have helped form and reshape these concepts (religion, America/n), particularly as they intersect with other categories of human distinction and difference-making, including race, space, gender, sex, and class.",RELG,"American Studies",HIST,202620,"4 hours"
202620ANTH16235,"Introductory Cultural Anthropology",104,16235,A,4,"MWF 1200-1250,  ","Y Kang",TBA,26,26,"Closed // Waitlist: 7","General Education: G4: Exploring Past and Present,G7: Encountering Perspectives<br><br>Reserved Seats: new first-year students - 13 (none available)","Introducing perspectives of Socio-Cultural Anthropology, the class explores how culture (the way of life shared by a group of people) creates varied realities and life experiences worldwide in relation to socially-generated understandings of gender, religion, ethnicity, class, race, and kinship. Focused on patterns of difference and similarity across cultures around the globe, this course teaches students the value of cross-cultural comparison and how to analyze their own cultural backgrounds through the anthropological lens.",ANTH,Anthropology,ANTH,202620,"4 hours"
202620ANTH16236,"Introductory Cultural Anthropology",104,16236,B,4,"MWF 1300-1350,  ","Y Kang",TBA,26,26,"Closed // Waitlist: 1","General Education: G4: Exploring Past and Present,G7: Encountering Perspectives<br><br>Reserved Seats: new first-year students - 13 (none available)","Introducing perspectives of Socio-Cultural Anthropology, the class explores how culture (the way of life shared by a group of people) creates varied realities and life experiences worldwide in relation to socially-generated understandings of gender, religion, ethnicity, class, race, and kinship. Focused on patterns of difference and similarity across cultures around the globe, this course teaches students the value of cross-cultural comparison and how to analyze their own cultural backgrounds through the anthropological lens.",ANTH,Anthropology,ANTH,202620,"4 hours"
202620ANTH16238,"Mountains, Monuments, and Mummies: Archaeology in Andean South America",230,16238,A,4,"MWF 1100-1150,  ","E Sharp",TBA,26,26,"Closed // Waitlist: 5","General Education: G4: Exploring Past and Present<br><br>Reserved Seats: new first-year students - 8 (none available)","The landscape of the Central Andes is one of environmental extremes, from the Andes mountains to coastal deserts and the Amazon rainforest. This course covers the cultures that adapted to this diverse landscape and thrived in this tropical region of South America for millennia. Class topics include the Inka Empire, once the largest Indigenous empire in the Americas, the Nazca lines, and the Chinchorro culture, renowned for creating the world’s oldest mummies. The course also discusses a variety of other pre-Inka societies and examines the role of archaeology in reconstructing the region’s history.",ANTH,Anthropology,ANTH,202620,"4 hours"
202620ANTH16237,"Artificial Intelligence as Cultural Technology",240,16237,A,4,"TR 0930-1045,  ","B McCray",TBA,26,26,"Closed // Waitlist: 1","For a detailed description of this Special Topics Course: <a href=""https://registrar.sewanee.edu/students/topics/""> https://registrar.sewanee.edu/students/topics</a>","Though content varies from semester to semester, this intermediate class focuses on a special topic in Anthropology not fully covered in existing courses. This course may be repeated for credit when the topic differs.",ANTH,Anthropology,ANTH,202620,"4 hours"
202620ANTH16240,"Human Skeletal Analysis in Bioarchaeology and Forensic Anthropology",284,16240,A,4,"MWF 0900-0950,  ","E Sharp",TBA,18,18,"Closed // Waitlist: 4",,"This course examines the human body as an archive of lived experience and life history through the fields of bioarchaeology and forensic anthropology. The course begins with an introduction to human osteology and bone biology and then discusses methods related to reconstructing biological profiles—age at death, sex, stature, population affinity—and identifying skeletal trauma. Theoretical approaches to studying health and disease in the past are also covered, as well as ethical debates surrounding the analysis, curation, and repatriation of human remains.",ANTH,Anthropology,ANTH,202620,"4 hours"
202620ANTH16241,"Anthropology and Environmental Justice",285,16241,A,4,"MW 1930-2045,  ","R Tate",TBA,26,23,"Available: 3","General Education: G7: Encountering Perspectives<br><br>Reserved Seats: new first-year students - 8 (2 available)","This course considers the ways in which ethnicity, race, religion, gender, class and culture shape differential access to natural resources and a healthy living environment. Drawing on anthropological studies of local ecological knowledge, political economies and city and regional planning, the class asks how disproportionate experiences of environmental benefits and burdens can be redressed in societies around the globe. Students consider culturally-informed routes to food and water security and socioecological resilience in the wake of climate change.",ANTH,Anthropology,ANTH,202620,"4 hours"
202620ANTH16244,"Ecological Anthropology",298,16244,A,4,"TR 1100-1215,  ","C Ray",TBA,26,26,"Closed // Waitlist: 4","General Education: G4: Exploring Past and Present<br><br>Reserved Seats: new first-year students - 8 (none available)","This course will examine human-environmental relationships from the anthropological perspective. Consideration of theoretical approaches and practical applications will be supplemented by archaeological, ethnographical, and ethnohistorical case studies. We will consider various ecosystems and landscapes as palimpsests that reveal cultural footprints to the archaeologist and human choices to the ethnographer. We will explore how an understanding of both can greatly inform ecological studies and further new thinking about environmental policy.",ANTH,Anthropology,ANTH,202620,"4 hours"
202620ANTH16306,"One Health",320,16306,A,4,"T 1930-2200,  ","C Ray",TBA,18,17,"Available: 1",,"The unifying biocultural approach known as One Health examines interconnections between the health of humans, animals and the environment at local, regional and global scales. Students learn how anthropologists employ One Health in international studies of biocultural diversity
where ecosystems influence spiritual beliefs, identities and social and subsistence practices, and where these beliefs and practices help maintain ecosystems, and particular flora, fauna and soils. Through research projects and fieldwork, students consider how One-Health efforts to balance and optimize the health of animals, humans and the environment, also articulate with Anthropological approaches to Environmental and Social Justice.",ANTH,Anthropology,ANTH,202620,"4 hours"
202620ANTH16242,"Indigenous Plant Use: A Global Approach",325,16242,A,4,"MW 1400-1515,  ","R Tate",TBA,18,18,"Closed // Waitlist: 1","General Education: G7: Encountering Perspectives<br><br>Reserved Seats: new first-year students - 8 (none available)","This is a dynamic course in plant-human interaction that bridges cultural anthropology and related disciplines like economic botany, archaeology, and environmental history to explore a selection of economic plants that have shaped human society. This course follows case studies of select taxa to explore their origins and past uses, impacts of colonial encounters, effects of climate change, and other contemporary social and political entanglements. Special attention will be given to issues of plant use and Indigenous resilience, sovereignty, and cultural revitalization, as well as potential contributions to sustainable futures and agrobiodiversity.",ANTH,Anthropology,ANTH,202620,"4 hours"
202620ANTH16243,"Anthropological Theory",403,16243,A,4,"T 1330-1600,  ","Y Kang",TBA,15,8,"Available: 7","General Education: GMWI: Major Writing Intensive<br><br>Open only to juniors or seniors pursuing programs in anthropology","The historical development of anthropological theory beginning with positivism and classical evolutionary thinking through that of the neo-evolutionists. Consideration of different historical approaches is followed by exploration of cultural materialism, structuralism, Marxism, symbolic interpretation, and practice theory. The course concludes with a survey of post-modernism and collaborative approaches.",ANTH,Anthropology,ANTH,202620,"4 hours"
202620ART15880,"Introduction to Lens and Time-based Media",103,15880,A,4,"T 1330-1630,  ","P Malde",TBA,14,14,"Closed // Waitlist: 3","General Education: G2: Understanding the Arts<br><br>Open only to first-year students and sophomores; Reserved Seats: new first-year students - 7 (none available); Studio Art Fee-Malde: $450","An introduction to processes dependent on the lens as an imaging device, including wet-lab photography, digital photography, video editing and installation-based sequencing. The course incorporates the fundamental theoretical, technical and aesthetic principles of working with photography as an expressive medium. Assignments include darkroom laboratory work, studio projects, discussions, written analyses, and class presentations.",ART,Art,ART,202620,"4 hours"
202620ART16311,"Introduction to Three- and Four-Dimensional Media",104,16311,A,4,"T 1330-1630,  ","G Pond",TBA,15,11,"Available: 4","General Education: G2: Understanding the Arts<br><br>Open only to first-year students and sophomores; Studio Art Fee-Pond: $275","An introduction to sculptural media involving spatial and temporal dimensions, including sculpture, installation, computer-aided design, and Computer Numerical Control (CNC) fabrication. The course incorporates the fundamental theoretical, technical and aesthetic principles of composition in space and time. Assignments involve design of the production of objects; computer modeling; traditional and non-traditional sculpture techniques.",ART,Art,ART,202620,"4 hours"
202620ART15877,"Introduction to Drawing and Two-Dimensional Media",105,15877,A,4,"T 1330-1630,  ","J Wohl",TBA,15,15,"Closed // Waitlist: 10","General Education: G2: Understanding the Arts<br><br>Open only to first-year students and sophomores; Reserved Seats: new first-year students - 7 (none available); Studio Art Fee-Wohl: $125","An introduction to two-dimensional media that explores mark making as the basis for visualization and ideation. The course incorporates the fundamental theoretical, technical and aesthetic principles of composition in two-dimensions. Students use wet and dry media to solve problems and investigate concepts of representation, abstraction and expression using traditional and non-traditional techniques.",ART,Art,ART,202620,"4 hours"
202620ART15881,"The Lens, Time and Space:  Topics in Photography",261,15881,A,4,"R 1330-1630,  ","P Malde",TBA,4,4,"Closed // Waitlist: 1","Prerequisite:  ART 103  or  ART 263  ; Studio Art Fee-Malde: $450","This course introduces students to thematic approaches in photography using film-based methods, digital printing, and multi-media. Class projects and discussions center around the cultural and socio-political impact of the medium, as well the deeply personal and expressive aspects of photographic art.",ART,Art,ART,202620,"4 hours"
202620ART15882,"Intermediate Documentary Projects in Photography",263,15882,A,4,"TR 1100-1215,  ","P Malde",TBA,6,12,"Closed // Waitlist: 7","General Education: G2: Understanding the Arts<br><br>Community Engagement; Reserved Seats: new first-year students - 3 (none available); Studio Art Fee-Malde: $350","The course introduces students to documentary methods and issues pertaining to photography and related media used in the making of photo-documentaries.  Class projects and discussions examine the cultural and socio-political impact of this genre, as well as the genre's core triangulation points of subjectivity, objectivity, and truth.",ART,Art,ART,202620,"4 hours"
202620ART15875,"Material, Space, and Form:  Topics in Contemporary Sculpture",281,15875,A,4,"W 1330-1630,  ","G Pond",TBA,10,7,"Available: 3","Prerequisite:  ART 101  or  ART 104  ; Studio Art Fee-Pond: $225","This course explores both new and traditional media for the study and production of sculptural form. A series of assignments involve additive and reductive processes, mold making and casting, static and temporal composition, and a range of materials. Examples ranging from ancient to current sculptural practices are discussed and reviewed to provide historical and theoretical context for the assignments. The evaluation and analysis of assignments involves group discussions and individual critiques.",ART,Art,ART,202620,"4 hours"
202620ART15878,"Advanced Studio Seminar in Drawing and Painting",352,15878,A,4,"R 1330-1630,  ","J Wohl",TBA,14,14,"Closed // Waitlist: 0","Prerequisite:  ART 251  or  ART 255  or  ART 257  or  ART 259  or  ART 291  or  ART 299  or  ART 351  or  ART 391  ; Studio Art Fee-Wohl: $25","In this seminar, students engage in a combination of advanced assignments and self-directed projects aimed towards furthering the study of drawing, painting and mixed media in both traditional and non-traditional materials. Content will vary from semester to semester. This course may be repeated twice for credit.",ART,Art,ART,202620,"4 hours"
202620ART15883,"Advanced Photography",361,15883,A,4,"R 1330-1630,  ","P Malde",TBA,8,8,"Closed // Waitlist: 0","Prerequisite:  ART 261  or  ART 263  ; Studio Art Fee-Malde: $450","The course builds on prior experience and concentrates on small and large format photography, color and alternative photographic processes.  Class projects and discussions are shaped around self-defined projects. This course can be repeated twice for credit.",ART,Art,ART,202620,"4 hours"
202620ART15876,"Advanced Studio Seminar in Sculpture",381,15876,A,4,"W 1330-1630,  ","G Pond",TBA,5,0,"Available: 5","Prerequisite:  ART 281  or  ART 282  or  ART 285  or  ART 287  ; Studio Art Fee-Pond: $300","In this sculpture seminar, students engage in a combination of advanced assignments and self-directed projects aimed towards furthering the study of the art involved in three-dimensional media and methods.This course can be repeated twice for credit.",ART,Art,ART,202620,"4 hours"
202620ART15879,"Senior Seminar",430,15879,A,4,"M 1300-1600,  ","J Wohl",TBA,15,6,"Available: 9","Open only to students pursuing majors in art","Participants will have already developed advanced skills in at least one of the five media offered (drawing, painting, photography, sculpture, video production). This seminar further enhances studio skills by referencing individual, self-defined project work to readings that explore the theory and practice of the visual arts, the societal role of the artist, contemporary issues and interdisciplinary approaches.",ART,Art,ART,202620,"4 hours"
202620ARTH16027,"Art of Europe and the Americas: 1300 to the Present",104,16027,A,4,"TR 1330-1445,  ",Staff,TBA,26,24,"Available: 2","General Education: G2: Understanding the Arts<br><br>Reserved Seats: new first-year students - 13 (none available)","A continuation of ARTH 103, beginning with the art of the Italian Renaissance and concluding with the major artistic developments of the 20th century.",ARTH,"Art History",ARTH,202620,"4 hours"
202620ARTH16028,"Art of Europe and the Americas: 1300 to the Present",104,16028,B,4,"TR 1500-1615,  ",Staff,TBA,26,25,"Available: 1","General Education: G2: Understanding the Arts<br><br>Reserved Seats: new first-year students - 13 (none available)","A continuation of ARTH 103, beginning with the art of the Italian Renaissance and concluding with the major artistic developments of the 20th century.",ARTH,"Art History",ARTH,202620,"4 hours"
202620ARTH16029,"Latin American Art, Ancient to Modern",111,16029,A,4,"TR 0930-1045,  ","L Todd",TBA,26,26,"Closed // Waitlist: 11","General Education: G2: Understanding the Arts,G6SP: Comprehending Cross-Culturally (Spanish/Hispanic Culture)<br><br>Reserved Seats: new first-year students - 10 (none available)","This survey course introduces the art and architecture of ancient, colonial, modern, and contemporary Latin America spanning approximately 4000 years (c. 2000 BCE- 2000 CE) and two continents (North, Central, and South America from Mexico to Brazil). We examine the style, iconography, and context of key works of art and consider enduring regional legacies and the adaptation of outside influences.",ARTH,"Art History",ARTH,202620,"4 hours"
202620ARTH16318,"The Body, Identity, and the Scientific Eye in American Art and Visual Culture",200,16318,A,4,"W 1400-1630,  ",Staff,TBA,18,14,"Available: 4","For a detailed description of this Special Topics Course: <a href=""https://registrar.sewanee.edu/students/topics/""> https://registrar.sewanee.edu/students/topics/</a>","This seminar focuses on a special topic in Art History not fully covered in existing courses. Special topics covered may include artistic movements, disciplines or traditions, genres, themes, or global regions. This course may be repeated for credit when the topic differs.",ARTH,"Art History",ARTH,202620,"4 hours"
202620ARTH16030,"History of Photography",202,16030,A,4,"MWF 1000-1050,  ","J Thompson",TBA,18,18,"Closed // Waitlist: 8","General Education: G2: Understanding the Arts<br><br>Reserved Seats: new first-year students - 9 (none available)","This course introduces students to the history of photography, from the invention of the medium in the 1830s to recent practices of photographers and artists working with a wide variety of photographic technologies.  Emphasis is given to key artist, artistic movements, and theories of photography, as well as to visual literacy and familiarity with the multiple genres and social functions of photographic image production.",ARTH,"Art History",ARTH,202620,"4 hours"
202620ARTH16283,"Japanese Print Culture",311,16283,A,4,"MWF 1100-1150,  ","A Miller",TBA,18,18,"Closed // Waitlist: 0",,"Explores the breadth of Japanese print culture, focusing on eighteenth to twentieth century artworks. Examines prints in light of economic and socio-cultural contexts, with special emphasis on topics such as the masculine culture of eighteenth century urban Japan, and globalization in the late nineteenth and early twentieth centuries. Genres covered include: early modern landscapes, “beautiful women” and actor prints, nineteenth-century political prints, and twentieth-century creative and revival prints from wartime and postwar Japan. Incorporates the study of museum print collections.",ARTH,"Art History",ARTH,202620,"4 hours"
202620ARTH16032,"Introduction to Museum Studies",316,16032,A,4,"MW 1400-1515,  ","A Miller",TBA,10,10,"Closed // Waitlist: 2","Art History Trip Fee-Miller: $50","Providing students with a survey of museology and the museum field, this course covers the history of museums, contemporary museum practice, and theories of representation. It explores the role of museums in society through readings, lectures, site visits, and class projects, and introduces the fundamentals of collections, exhibitions, the curatorial process, museum education, and administration.",ARTH,"Art History",ARTH,202620,"4 hours"
202620ARTH16033,"Imagining the Medieval Italian City",323,16033,A,4,"TR 0800-0915,  ","S MacLaren",TBA,15,10,"Available: 5","General Education: G6IT: Comprehending Cross-Culturally (Italian Culture)","This course explores the ways medieval Italian city-dwellers imagined and shaped their communities and civic identities in art, architecture, and literature, with a focus on vibrant thirteenth and fourteenth century urban centers like Siena, Florence, and Padua. Medieval Italian urbanites strategically imagined and represented their civic ideals and communities in the face of factional divisions and violence. Art, architecture, and urban planning had essential roles to play, as communities, institutions, and religious orders sought to define themselves in an accessible visual language, and as organizations.",ARTH,"Art History",ARTH,202620,"4 hours"
202620ARTH16034,"To Delight and to Move: The Global Baroque, 1600-1800",327,16034,A,4,"TR 1100-1215,  ","L Todd",TBA,18,17,"Available: 1",,"This course explores the early modern art movement known as “Baroque.” It begins with an historiographical examination of the term “baroque” and considers how and why the baroque visual language of <em>delectare et movere</em> appears across the globe from Europe to Asia and Latin America. (Of note: “global” in this sense would be excluding Africa.) The course examines and compares key works of painting, sculpture, architecture, and the decorative arts in consideration of their motivations and meanings. We conclude with an examination of the extension of baroque forms and styles in contemporary art in what has been referred to as the “Neobaroque” and “Ultrabaroque.”",ARTH,"Art History",ARTH,202620,"4 hours"
202620ARTH16035,"Early Modern Art of Latin America",353,16035,A,4,"TR 1330-1445,  ","L Todd",TBA,18,6,"Available: 12","General Education: G6SP: Comprehending Cross-Culturally (Spanish/Hispanic Culture)","This course examines the art of Latin America produced during the early modern period beginning with the Spanish conquest and concluding with the independence period (approximately 1500-1820). While considering several important art movements, this course also explores objects as they speak to questions of race and identity and reflect political, religious, social, and economic contexts. This course will also introduce students to the major theoretical issues regarding the interpretation of art of the Spanish Americas.",ARTH,"Art History",ARTH,202620,"4 hours"
202620ARTH16288,"Art Theft and Forgery",386,16288,A,4,"MWF 1200-1250,  ","J Thompson",TBA,18,18,"Closed // Waitlist: 4",,"This course situates art crime within a historical context by defining and analyzing the diverse illegal practices that shape this phenomenon. By examining changing definitions of forgery, theft, and looting over time, this course begins with early modern forgeries of classical objects to recent events of theft from museums and cultural institutions. Students will engage with case studies on fakes, forgeries, and theft from the strange to the spectacular. The second half of the class turns to the challenges of cultural repatriation and restitution, while also exploring legal, ethical, and technological strategies aimed at preventing art-related crime in the future.",ARTH,"Art History",ARTH,202620,"4 hours"
202620ASIA16283,"Japanese Print Culture",311,16283,A,4,"MWF 1100-1150,  ","A Miller",TBA,18,18,"Closed // Waitlist: 0",,"Explores the breadth of Japanese print culture, focusing on eighteenth to twentieth century artworks. Examines prints in light of economic and socio-cultural contexts, with special emphasis on topics such as the masculine culture of eighteenth century urban Japan, and globalization in the late nineteenth and early twentieth centuries. Genres covered include: early modern landscapes, “beautiful women” and actor prints, nineteenth-century political prints, and twentieth-century creative and revival prints from wartime and postwar Japan. Incorporates the study of museum print collections.",ARTH,"Asian Studies",POLS,202620,"4 hours"
202620ASIA15962,"The Comic and Sublime: An Introduction to Chinese Theater",241,15962,A,4,"MW 1400-1515,  ","Y Tan",TBA,26,9,"Available: 17","General Education: G6CH: Comprehending Cross-Culturally (Chinese Culture)","This course surveys the rich and varied traditions of Chinese theater from their origins in ritual and spectacle to their current formulations in traditional and modern productions. We will discuss both dramatic texts and theatrical performances. All readings will be in English. Course will be taught in English.",ASIA,"Asian Studies",POLS,202620,"4 hours"
