uid,title,num,crn,section,hours,times,faculty,location,limit,enrolled,available,info,description,subj,subject,subj_code,cat_term,credit_hours
202610AFST12697,"Contemporary Social Movements",346,12697,A,4,"TR 1100-1215,  ","C Cerja","J. Albert Woods Laboratories 121",22,22,"Closed // Waitlist: 0","Not open to new first-year students; Consent of professor required for late entry","This course examines 1) some of the major social and political ideologies of the 20th century (such as liberalism, socialism, nationalism, feminism, environmentalism); 2) theories of social and political movements in modern societies and market democracies; and 3) concrete examples of such social and political movements in the contemporary world.",POLS,"African and African American Studies",INGS,202610,"4 hours"
202610AFST12313,"African-American Political Thought",373,12313,A,4,"TR 1330-1445,  ","C Cerja","Walsh-Ellett Hall 206",20,12,"Available: 8","Not open to new first-year students; Consent of professor required for late entry","This course focuses on important African-American writers whose unique perspectives challenge us to think about questions of justice, equality and difference, morality, and rule. Readings begin in the nineteenth century (Frederick Douglass, Booker T. Washington) and proceed into the late twentieth century with selections from authors such as Martin Luther King Jr., Malcolm X, Stokely Carmichael, James Baldwin, Shelby Steele, Cornel West, and Toni Morrison.",POLS,"African and African American Studies",INGS,202610,"4 hours"
202610AMST12586,"Introduction to African and African American Studies",150,12586,A,4,"TR 1100-1215,  ","E Riley","Gailor Hall 132",26,19,"Available: 7","General Education: G4: Exploring Past and Present<br><br>Reserved Seats: new first-year students - 8 (none available); Consent of professor required for late entry","An introduction to how historical and contemporary analyses of cultural, political, and social forces in America, the Atlantic world (Europe, Latin America, and the Caribbean), and Africa have influenced the experiences of people of color. To illuminate those life experiences, the course employs the concept of race (as a theoretical, historical, and critical category), historiography, social analysis, and cultural critique.",AFST,"American Studies",HIST,202610,"4 hours"
202610AMST12587,"Blackness in American Popular Culture",210,12587,A,4,"TR 1330-1445,  ","C Peterson","Walsh-Ellett Hall 204",26,6,"Available: 20","Consent of professor required for late entry","This course interrogates representations of blackness in American popular culture. Using an interdisciplinary lens that considers the social, political, cultural, and historical realities that inform popular culture, students investigate how blackness is constructed and its implications.",AFST,"American Studies",HIST,202610,"4 hours"
202610AMST12760,"LatinX Experiences across the United States",221,12760,A,4,"MW 1400-1515,  ","G Roman-Torres","Walsh-Ellett Hall 310",20,18,"Available: 2","General Education: G6SP: Comprehending Cross-Culturally (Spanish/Hispanic Culture),G7: Encountering Perspectives<br><br>Reserved Seats: new first-year students - 2 (none available); Consent of professor required for late entry; For a detailed description of this Special Topics Course: <a href=""https://registrar.sewanee.edu/students/topics/""> https://registrar.sewanee.edu/students/topics</a>","This course focuses on special topics in the American Studies not already covered in existing courses in the program. This course may be repeated for credit when the topic differs.",AMST,"American Studies",HIST,202610,"4 hours"
202610AMST12261,"Senior Research Seminar",420,12261,A,4,"W 1930-2200,  ","S O'Rourke","Gailor Hall 114",15,6,"Available: 9","General Education: GMWI: Major Writing Intensive<br><br>Open only to students pursuing majors in American studies; Consent of professor required for late entry","This seminar is designed to prepare and guide senior American Studies majors in the preparation of their senior theses. Weekly class meetings will be devoted to various topics related to their projects, including theoretical and practical problems of research, interpretation, analysis, and writing. Students will prepare regular written and oral submissions, and read and critique each other's work. They will deliver a final oral presentation on their completed project.",AMST,"American Studies",HIST,202610,"4 hours"
202610AMST12297,"American Art",340,12297,A,4,"TR 0930-1045,  ","M Brennecke","Gailor Hall 130",18,12,"Available: 6","Consent of professor required for late entry","A survey of painting, sculpture, and architecture in the United States from the Colonial period to 1913, with an emphasis on the relationship between American and European art and artists. Other topics considered include the development of art institutions in this country, in particular art museums and academies.",ARTH,"American Studies",HIST,202610,"4 hours"
202610AMST12373,"American Literature, Beginnings to 1855",377,12373,A,4,"TR 1330-1445,  ","J Grammer","Gailor Hall 114",16,13,"Available: 3","Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry","Many people know one sentence from early American literature: Puritan leader John Winthrop’s 1630 claim that “we shall be as a City on a Hill.”  Often misinterpreted as a promise of inevitable national success, these words were actually a warning that America’s redemptive promises carried the risk of disastrous and conspicuous failure.  This course traces the efforts of English-language writers to respond to both the promises and the failures of the tiny colonial settlements that became the United States.  Authors studied include Anne Bradstreet, Mary Rowlandson, Phillis Wheatley, Frederick Douglass, Edgar Allan Poe, Henry David Thoreau, Nathaniel Hawthorne and Walt Whitman.",ENGL,"American Studies",HIST,202610,"4 hours"
202610AMST12374,"Origins and Development of the American Novel: 1790 to 1920",379,12374,A,4,"MW 1400-1515,  ","J Grammer","Gailor Hall 132",20,6,"Available: 14","Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry","“In the four quarters of the globe,” sneered the English critic Sidney Smith in 1820, “who reads an American book?”  This course introduces the U.S. writers who answered Smith’s challenge, such as Hannah Webster Foster, James Fenimore Cooper, Nathaniel Hawthorne, Herman Melville, Harriet Beecher Stowe, Henry James, Charles W. Chesnutt, Willa Cather, and Theodore Dreiser.  They invented a distinctively American novel and in the process produced masterpieces that are still recognized in all four quarters of the globe.",ENGL,"American Studies",HIST,202610,"4 hours"
202610AMST12278,"History of the United States I",201,12278,A,4,"MWF 1000-1050,  ","J Willis","Walsh-Ellett Hall 210",26,27,"Closed // Waitlist: 0","General Education: G4: Exploring Past and Present<br><br>Reserved Seats: new first-year students - 13 (none available); Consent of professor required for late entry","A general survey of the political, constitutional, economic, and social history of the United States.",HIST,"American Studies",HIST,202610,"4 hours"
202610AMST12283,"Introduction to Public History",235,12283,A,4,"TR 1100-1215, T 0900-1100","T Momon","Walsh-Ellett Hall 306",26,26,"Closed // Waitlist: 0","Reserved Seats: new first-year students - 3 (none available); Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry","This course introduces the history, theory, and practice of public history, examining the ideas and questions that shape and are shaped by public engagements with the past. It engages and evaluates historical works aimed primarily at public audiences in order to determine why and how public investments in the historical past develop and change.",HIST,"American Studies",HIST,202610,"4 hours"
202610AMST12280,"History of Southern Appalachia",295,12280,A,4,"TR 1100-1215,  ","J Willis","Walsh-Ellett Hall 210",22,22,"Closed // Waitlist: 6","Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry","An examination of the events, people, movements, and themes of the region's past, from earliest known human habitation to the present.  The course explores contrasting ways of life expressed by native and European peoples; implications of incorporating the area into the United States; the agricultural, industrial, and transportation revolutions of the nineteenth century; popular culture within and about Appalachia; contemporary issues of regional development and preservation; and ways the unique environment of these mountains has shaped and frustrated notions of regional identity.",HIST,"American Studies",HIST,202610,"4 hours"
202610AMST12306,"Introduction to Public Policy",223,12306,A,4,"MW 1400-1515,  ","P Gauding","Walsh-Ellett Hall 206",26,26,"Closed // Waitlist: 0","General Education: G4: Exploring Past and Present<br><br>Reserved Seats: new first-year students - 6 (none available); Consent of professor required for late entry","Students are introduced to foundational theories of public policy, gaining valuable insight into ""who gets what, when, and how"" in the political process. Through a series of case studies in environmental, social welfare, criminal justice, and health policy, students are asked to apply and critically evaluate policy problems and solutions, given existing public policy theories.",POLS,"American Studies",HIST,202610,"4 hours"
202610AMST12307,"Introduction to Public Policy",223,12307,B,4,"MW 1530-1645,  ","P Gauding","Walsh-Ellett Hall 206",26,25,"Available: 1 Reserved","General Education: G4: Exploring Past and Present<br><br>Reserved Seats: new first-year students - 6 (1 available); Consent of professor required for late entry","Students are introduced to foundational theories of public policy, gaining valuable insight into ""who gets what, when, and how"" in the political process. Through a series of case studies in environmental, social welfare, criminal justice, and health policy, students are asked to apply and critically evaluate policy problems and solutions, given existing public policy theories.",POLS,"American Studies",HIST,202610,"4 hours"
202610AMST12313,"African-American Political Thought",373,12313,A,4,"TR 1330-1445,  ","C Cerja","Walsh-Ellett Hall 206",20,12,"Available: 8","Not open to new first-year students; Consent of professor required for late entry","This course focuses on important African-American writers whose unique perspectives challenge us to think about questions of justice, equality and difference, morality, and rule. Readings begin in the nineteenth century (Frederick Douglass, Booker T. Washington) and proceed into the late twentieth century with selections from authors such as Martin Luther King Jr., Malcolm X, Stokely Carmichael, James Baldwin, Shelby Steele, Cornel West, and Toni Morrison.",POLS,"American Studies",HIST,202610,"4 hours"
202610AMST12561,"Cult Controversies: Race, Gender, and Sex in America's 'Alternative' Religions",235,12561,A,4,"TR 1100-1215,  ","K Curts","Walsh-Ellett Hall 202",26,24,"Available: 2","General Education: G4: Exploring Past and Present,G7: Encountering Perspectives<br><br>Reserved Seats: new first-year students - 12 (none available); Consent of professor required for late entry","Introduces and explores new religious movements, sectarian spin-offs, and alternative communities in the U.S. that have tested the parameters of acceptable ""religion"" at different moments in history. Particular attention is given to intersectional dynamics. The class questions the politics and practices of labeling, especially the language of ""cults,"" and centers on specific historical case studies in order to illustrate and analyze major theoretical and methodological challenges in and for the study of religion(s). It considers what draws people to create and join new religious movements, the distinctive worlds such groups endeavor to build, and the controversies that have historically attended them.",RELG,"American Studies",HIST,202610,"4 hours"
202610AMST12268,"Voices of American Women",331,12268,A,4,"MW 1530-1645,  ","M Lehn","Gailor Hall 110",20,18,"Available: 2","General Education: G7: Encountering Perspectives<br><br>Consent of professor required for late entry","An examination of the history and criticism of American women's oratory and the history of women's public discourse in the United States from the colonial period through the present. Considers the historical, social, and cultural significance of women's rhetorical participation in civic life, as well as issues of authority, reception, and the nature of argument both within and about women's public address.",RHET,"American Studies",HIST,202610,"4 hours"
202610AMST12292,"Introduction to Women's and Gender Studies",100,12292,A,4,"MW 1530-1645,  ","M Brookfield","Walsh-Ellett Hall 202",26,15,"Available: 11","General Education: G4: Exploring Past and Present<br><br>Open only to first-year students, sophomores, and juniors; Reserved Seats: new first-year students - 6 (none available); Consent of professor required for late entry","In this introductory course, students will read widely in the interdisciplinary field of women’s and gender studies to explore how gender is created and maintained in society and how social categories, including race, sexuality, class, disability, and age, structure the formation and experience of gender. Coursework will emphasize critical awareness of how gender manifests and operates in political, social, economic, and cultural spheres. Students will also practice the critical thinking, writing, and dialogue skills fundamental to feminist inquiry.",WMST,"American Studies",HIST,202610,"4 hours"
202610ANTH12647,"Introductory Cultural Anthropology",104,12647,A,4,"MWF 1000-1050,  ","R Tate","Carnegie Hall 001",26,25,"Available: 1","General Education: G4: Exploring Past and Present,G7: Encountering Perspectives<br><br>Reserved Seats: new first-year students - 13 (none available); Consent of professor required for late entry","Introducing perspectives of Socio-Cultural Anthropology, the class explores how culture (the way of life shared by a group of people) creates varied realities and life experiences worldwide in relation to socially-generated understandings of gender, religion, ethnicity, class, race, and kinship. Focused on patterns of difference and similarity across cultures around the globe, this course teaches students the value of cross-cultural comparison and how to analyze their own cultural backgrounds through the anthropological lens.",ANTH,Anthropology,ANTH,202610,"4 hours"
202610ANTH12642,"Introductory Biological Anthropology and Archaeology",106,12642,A,4,"TR 0800-0915,  ","E Sharp","J. Albert Woods Laboratories 113",26,26,"Closed // Waitlist: 1","General Education: G4: Exploring Past and Present,G5: Observing-Experimenting-Modeling<br><br>Reserved Seats: new first-year students - 13 (none available); Consent of professor required for late entry","An introduction to the processes of human and cultural evolution. Physical anthropology will focus on human evolution and the human fossil record, genetic processes, primatology, and physiological characteristics of modern human populations. Archaeology will trace cultural evolution from the first hominins to the beginnings of complex societies The pertinent methods and theories are presented throughout.",ANTH,Anthropology,ANTH,202610,"4 hours"
202610ANTH12643,"Introductory Biological Anthropology and Archaeology",106,12643,B,4,"TR 0930-1045,  ","E Sharp","J. Albert Woods Laboratories 113",27,27,"Closed // Waitlist: 2","General Education: G4: Exploring Past and Present,G5: Observing-Experimenting-Modeling<br><br>Reserved Seats: new first-year students - 13 (none available); Consent of professor required for late entry","An introduction to the processes of human and cultural evolution. Physical anthropology will focus on human evolution and the human fossil record, genetic processes, primatology, and physiological characteristics of modern human populations. Archaeology will trace cultural evolution from the first hominins to the beginnings of complex societies The pertinent methods and theories are presented throughout.",ANTH,Anthropology,ANTH,202610,"4 hours"
202610ANTH12644,"World Prehistory",109,12644,A,4,"TR 0930-1045,  ","C Ray","J. Albert Woods Laboratories 216",26,25,"Available: 1","General Education: G3: Seeking Meaning,G4: Exploring Past and Present<br><br>Reserved Seats: new first-year students - 12 (none available); Consent of professor required for late entry","This course introduces human prehistory. Referencing the influence of regional environments and technological innovations on early human societies’ attempts to resolve panhuman challenges, the class examines the earliest evidence for ritual, architecture and art in the Paleolithic and Mesolithic. Next, considering the irrevocable changes in human life caused by the development of agriculture, the course surveys early complex societies in Mesopotamia, Egypt, the Indus Valley, and China. Course topics also explore transitions from tribal societies to chiefdoms and proto-states in Asia, pre-Roman Europe and Mesoamerica to identify patterns in human social organization and perceptions of the supernatural.",ANTH,Anthropology,ANTH,202610,"4 hours"
202610ANTH12645,"World Prehistory",109,12645,B,4,"TR 1100-1215,  ","C Ray","J. Albert Woods Laboratories 216",26,24,"Available: 2","General Education: G3: Seeking Meaning,G4: Exploring Past and Present<br><br>Reserved Seats: new first-year students - 12 (none available); Consent of professor required for late entry","This course introduces human prehistory. Referencing the influence of regional environments and technological innovations on early human societies’ attempts to resolve panhuman challenges, the class examines the earliest evidence for ritual, architecture and art in the Paleolithic and Mesolithic. Next, considering the irrevocable changes in human life caused by the development of agriculture, the course surveys early complex societies in Mesopotamia, Egypt, the Indus Valley, and China. Course topics also explore transitions from tribal societies to chiefdoms and proto-states in Asia, pre-Roman Europe and Mesoamerica to identify patterns in human social organization and perceptions of the supernatural.",ANTH,Anthropology,ANTH,202610,"4 hours"
202610ANTH12649,"Cultural Resource Practicum",213,12649,A,4,"F 1400-1630,  ","B McCray","J. Albert Woods Laboratories 123",18,18,"Closed // Waitlist: 0","Consent of professor required for late entry","This practicum focuses on historical or prehistoric cultural resources, both archaeological and standing structures, on the University Domain. Students learn excavation and documentation techniques appropriate to the specific resource type. In addition, artifact processing and cataloging will be covered. The majority of this course is field based. This course can be repeated once for credit.",ANTH,Anthropology,ANTH,202610,"4 hours"
202610ANTH12639,"Food and Culture",250,12639,A,4,"MWF 0800-0850,  ","R Tate","J. Albert Woods Laboratories 216",18,18,"Closed // Waitlist: 0","Reserved Seats: new first-year students - 3 (none available); Consent of professor required for late entry","Food provides a lens through which to understand cultures and social structures. This course examines how food production and consumption articulates with power and inequality, and with gender, ethnic, class and community identities. The course offers anthropological perspectives on the links between diet and disease, global economic integration and commodity chains, migration and labor, and the future of sustainable foodways.",ANTH,Anthropology,ANTH,202610,"4 hours"
202610ANTH12648,"The Celts",309,12648,A,4,"MWF 1200-1250,  ","C Ray","Walsh-Ellett Hall 208",18,10,"Available: 8","Consent of professor required for late entry","This course explores ancient Celtic societies through archaeology, ethnohistory, linguistics, and medieval documentation of indigenous myths. Beginning with Early Iron Age material culture in Austria (the Hallstatt period from 800 BC) and the continental Late Iron Age (the La Tene period from 450 BC to the Roman conquest), the class then considers the perceived endurance of Celtic tradition through the Middle Ages in areas least impacted by Roman rule (Ireland, Scotland, and Wales).",ANTH,Anthropology,ANTH,202610,"4 hours"
202610ANTH12640,"Medical Anthropology",319,12640,A,4,"MWF 0900-0950,  ","Y Kang","Spencer Hall 151",18,16,"Available: 2","Consent of professor required for late entry","This anthropological investigation into medical topics with a cultural component (gerontology, substance abuse, nutrition, folk medicine, etc.) will also examine the ways in which various cultural backgrounds may impede or enhance the medical process. Issues such as disease and therapy will also be examined in cross-cultural perspective.",ANTH,Anthropology,ANTH,202610,"4 hours"
202610ANTH12641,"Anthropology of Business",331,12641,A,4,"MWF 1100-1150,  ","Y Kang","Spencer Hall 151",18,11,"Available: 7","Consent of professor required for late entry","This course applies the methods and theories of cultural anthropology in the study of business organizations and their ecosystems. Examining companies and markets as human groups with social structures, students consider how corporate cultures develop their own rituals, symbols, cultural norms, and procedures, and how these articulate with kinship, religion, gender, class, ethnicity, and environment. The class considers intercultural challenges in the current phase of global economic integration and the intersection of corporate cultural values, ethics, and practice. A significant dimension of the course is a focus on sustainable business cultures.",ANTH,Anthropology,ANTH,202610,"4 hours"
202610ANTH12646,"Archaeological Resource Management and Policy",332,12646,A,4,"TR 1500-1615,  ","E Sharp","Spencer Hall 151",18,9,"Available: 9","Consent of professor required for late entry","This course explores international and national approaches to archaeological heritage management.  It includes review of public policy that protect sites (much of it incorporated into environmental legislation) and of regulations that guide the process.  The course centers around study of how the determination of such policies affects negotiation between the past and present as archaeologists, various governments, descendant communities, and others try to balance a concern for preservation with growing demand for development and sustainability.  Interwoven into the course are topics such as how diverse cultures view the past, the growing commodification of archaeological sites in the tourist trade, the antiquities market, and careers in cultural resource management.",ANTH,Anthropology,ANTH,202610,"4 hours"
202610ANTH12685,"The End of the World as We Know It: Global Climate Change, Crisis, and Catastrophe",212,12685,A,4,"TR 0930-1045,  ","B McCray","Snowden Hall 215",26,24,"Available: 2","General Education: G4: Exploring Past and Present,G7: Encountering Perspectives<br><br>Consent of professor required for late entry","This course examines how different cultures construct narratives about global catastrophe and climate change. It deconstructs common concepts related to natural and anthropogenic disaster to understand how conceptual affordances and constraints affect mitigation efforts, shape preparation, and guide response to disaster across global contexts. This course emphasizes a comparative approach including perspectives on both past and present societies. It interrogates how contemporary society incorporates tropes of archaeological “collapse” into catastrophic imaginaries. This course aims to foster a more critical, nuanced understanding of the courses of action available to global society in the face of a changing climate.",INGS,Anthropology,ANTH,202610,"4 hours"
202610ART12627,"Introduction to Lens and Time-based Media",103,12627,A,4,"T 1330-1630,  ","P Malde","Wiggins Hall 122",14,13,"Available: 1 Reserved // Waitlist: 1","General Education: G2: Understanding the Arts<br><br>Open only to first-year students and sophomores; Reserved Seats: new first-year students - 7 (1 available); Consent of professor required for late entry; Studio Art Fee-Malde: $450","An introduction to processes dependent on the lens as an imaging device, including wet-lab photography, digital photography, video editing and installation-based sequencing. The course incorporates the fundamental theoretical, technical and aesthetic principles of working with photography as an expressive medium. Assignments include darkroom laboratory work, studio projects, discussions, written analyses, and class presentations.",ART,Art,ART,202610,"4 hours"
202610ART12631,"Cutting Time:  Topics in Contemporary Video Production and the Moving Image",243,12631,A,4,"W 1330-1630,  ","G Pond","Wiggins Hall 122",15,15,"Closed // Waitlist: 0","Reserved Seats: new first-year students - 7 (none available); Consent of professor required for late entry; Studio Art Fee-Pond: $50","This introductory course involves study of the theories and processes of video and audio production as well as other techniques for making moving images. It examines a variety of aesthetic, formal, thematic, and technical approaches to composition and artistic expression through moving images and sound. The evaluation and analysis of assignments involves group discussions and individual critiques. Examples from a spectrum of artists and filmmakers provide a context for understanding the potential of moving images in a variety of forms.",ART,Art,ART,202610,"4 hours"
202610ART12629,"Drawing from Life",259,12629,A,4,"W 1330-1630,  ","J Wohl","Studio Art Building 102",15,10,"Available: 5","Reserved Seats: new first-year students - 1 (none available); Prerequisites: ART 105 or AP/IB Drawing.; Consent of professor required for late entry; Studio Art Fee-Wohl: $275","This course explores use of observational drawing techniques as a means for translating three-dimensional realities into two-dimensional drawn images. By observing inhabited spaces, landscapes, specimens and living subjects, students gain heightened sensitivity to the world around them through attentiveness to the visual. In the process, they also become acquainted with various drawing materials. Through studio assignments, exercises, discussions, field trips and critiques, students learn to draw from both life and the imagination, all the while honing their observational skills and their facility with drawing media.",ART,Art,ART,202610,"4 hours"
202610ART12630,"The Lens, Time and Space:  Topics in Photography",261,12630,A,4,"R 1330-1630,  ","P Malde","Wiggins Hall 122",12,10,"Available: 2","Prerequisite:  ART 103  or  ART 263  ; Consent of professor required for late entry; Studio Art Fee-Malde: $450","This course introduces students to thematic approaches in photography using film-based methods, digital printing, and multi-media. Class projects and discussions center around the cultural and socio-political impact of the medium, as well the deeply personal and expressive aspects of photographic art.",ART,Art,ART,202610,"4 hours"
202610ART12632,"Sustainable Structures",282,12632,A,4,"T 1330-1630,  ","G Pond","Studio Art Building 116",15,11,"Available: 3 // Waitlist: 1","General Education: G2: Understanding the Arts<br><br>Reserved Seats: new first-year students - 8 (2 available); Consent of professor required for late entry; Studio Art Fee-Pond: $150","Through the study and application of sustainable materials as media for sculpture, design, and architecture, this course examines relationships among landscape, physical culture, and the built environment.  With the benefit of various locally grown and recycled materials used to build a series of projects, the course employs new technologies and discusses issues related to the practical integration of ecologically sound aesthetics into contemporary culture.",ART,Art,ART,202610,"4 hours"
202610ART12628,"Painting from Life",299,12628,A,4,"R 1330-1630,  ","J Wohl","Studio Art Building 101",14,13,"Closed: 1 Reserved // Waitlist: 3","General Education: G2: Understanding the Arts<br><br>Reserved Seats: new first-year students - 7 (none available); Consent of professor required for late entry; Studio Art Fee-Wohl: $275","This introductory course explores use of color theory and observational painting techniques as a means for translating three-dimensional realities into two-dimensional painted images. By observing still lives, structures, landscapes, and live models, students gain heightened sensitivity to the world around them through attentiveness to the visual. In the process, they also become acquainted with various painting materials and surfaces. Through studio assignments, exercises, readings, discussions, and critiques, students learn to paint from both life and the imagination, all the while honing their observational skills and their facility with painting media.",ART,Art,ART,202610,"4 hours"
202610ART12633,"Advanced Photography",361,12633,A,4,"R 1330-1630,  ","P Malde","Wiggins Hall 122",2,1,"Available: 1","Prerequisite:  ART 261  or  ART 263  ; Consent of professor required for late entry; Studio Art Fee-Malde: $450","The course builds on prior experience and concentrates on small and large format photography, color and alternative photographic processes.  Class projects and discussions are shaped around self-defined projects. This course can be repeated twice for credit.",ART,Art,ART,202610,"4 hours"
202610ART12634,"Seminar in Creativity",420,12634,A,4,"M 1300-1600,  ","G Pond","Studio Art Building 103",20,6,"Available: 14","General Education: GMWI: Major Writing Intensive<br><br>Open only to seniors pursuing majors in art; Consent of professor required for late entry","This investigation of the creative process requires advanced studio skills and is based on discussion of works-in-progress.  Selected readings, participation in critiques, and a semester-long studio project help establish a disciplined and systematic approach to creative practice.",ART,Art,ART,202610,"4 hours"
